0,504
1,643
2,907
3,1173
4,1562
5,2083
6,2684
7,3323
8,4043
9,4803
10,5987
11,6808
12,8196
13,9538
14,10973
15,12712
16,14553
17,16357
18,18524
19,20895
20,22650
21,24991
22,27466
23,30051
24,32805
25,36520
26,39430
27,42330
28,45122
29,48108
30,50944
31,53524
32,55605
33,57609
34,60172
35,62278
36,64056
37,66621
38,68307
39,70360
40,72575
41,75925
42,77453
43,79629
44,82624
45,85341
46,88165
47,91576
48,95498
49,98630
50,102074
51,108897
52,114248
53,123967
54,133096
55,141990
56,151349
57,165429
58,178168
59,194216
60,212264
61,228685
62,246563
63,263467
64,278710
65,302218
66,330357
67,356437
68,376254
69,402709
70,423399
